linnaean_normalized,ru_report,en_report,preferred_en_label
Accipiter gentilis,Тетеревятник,Accipiter gentilis,Northern goshawk
Aegithalos caudatus,Длиннохвостая синица,Aegithalos caudatus,Long-tailed tit
Anas clypeata,Широконоска,Anas clypeata,Northern shoveler
Anas platyrhynchos,Кряква,Anas platyrhynchos,Mallard
Anas sp.,Утка,Anas sp.,Duck family
Anas strepera,Серая утка,Anas strepera,Gadwall
Aquila chrysaetos,Беркут,Aquila chrysaetos,Golden eagle
Aythya ferina,Красноголовая чернеть,Aythya ferina,Common pochard
Branta ruficollis,Краснозобая казарка,Rufibrenta ruficollis,Red-breasted goose
Bucephala clangula,Обыкновенный гоголь,Bucephala clangula,Common goldeneye
Calidris,Песочники,Calidris sp.,Stint and sandpiper family
Clangula hyemalis,Морянка,Clangula hyemalis,Long-tailed duck
Columba livia,Сизый голубь,Columba livia,Rock pigeon
Columba palumbus,Вяхирь,Columba palumbus,Common wood pigeon
Corvus corax,Ворон,Corvus corax,Common raven
Corvus cornix,Серая ворона,Corvus cornix,Hooded raven
Corvus monedula,Галка,Corvus monedula,European jackdaw
Coturnix coturnix,Перепел,Coturnix coturnix,Common quail
Gallus gallus,Домашняя курица,Gallus gallus f. Domestica,Domestic chicken
Garrulus glandarius,Сойка,Garrulus glandarius,Eurasian jay
Gavia arctica,Чернозобая гагара,Gavia arctica,Black-throated loon
Gavia stellata,Краснозобая гагара,Gavia stellata,Red-throated loon
Larus cachinnans,Хохотунья,Larus cachinnans,Caspian gull
Melanitta nigra,Cиньга,Melanitta nigra,Common scoter
Netta rufina,Красноносый нырок,Netta rufina,Red-crested pochard
Otis tarda,Дрофа,Otis tarda,Great bustard
Phalacrocorax aristotelis,Хохлатый баклан,Phalacrocorax aristotelis,European shag
Phalacrocorax carbo,Большой баклан,Phalacrocorax carbo,Great cormorant
Podiceps auritus,Красношейная поганка,Podiceps auritus,Horned grebe
Podiceps cristatus,Большая поганка,Podiceps cristatus,Great crested grebe
Podiceps grisegena,Серощекая поганка,Podiceps grisegena,Red-necked grebe
Podiceps nigricollis,Черношейная поганка,Podiceps nigricollis,Black-necked grebe
Puffinus puffinus,Малый буревестник,Puffinus puffinus,Manx shearwater
Streptopelia sp.,Горлица,Streptopelia sp.,Turtle dove
Tadorna tadorna,Пеганка,Tadorna tadorna,Shelduck
Turdus merula,Чёрный дрозд,Turdus merula,Common blackbird
