linnaean_normalized,en_report,ru_label,preferred_en_label
Raja clavata,Raja clavata,Морская лисица,Thornback skate
Acipenseridae,Acipenseridae,Осетр,Sturgeon family
Alosa,Alosa sp.,Алоза,Herring family including shad
Esox lucius,Esox lucius,Щука,Northern pike
Cyprinidae,Cyprinidae,Карповые рыбы,Carp family
Silurus glanis,Silurus glanis,Сом,European catfish
Sander lucioperca,Sander lucioperca,Судак,Pike-perch
Liza,Liza sp.,Кефали-лизы,Mullet family
Scophthalmus rhombus,Scophthalmus rhombus,Гладкий ромб,Brill or turbot
Labridae,Labridae,Губан,Wrasses and parrotfishes
Scorpaena,Scorpaena sp.,Скорпены,Scorpionfish family
Sarda sarda,Sarda sarda,Пеламида,Atlantic bonito
Gobius cobitis,Gobius cobitis,Большой морской бычок,Giant goby
Acipenser stellatus,Acipenser stellatus,Севрюга,Stellate sturgeon
Abramis brama,Abramis brama,Лещ,Common bream
Cyprinus carpio,Cyprinus carpio,Сазан,Common carp
Rutilus rutilus,Rutilus rutilus,Обыкновенная плотва,Roach
Symphodus tinca,Symphodus tinca,Зеленушка,East Atlantic peacock wrasse
Scophthalmus maximus,Scophthalmus ponticus,Калкан,Turbot
