ark_type,ark_id,ark_label,common_name,cleaned_alignment,ncbi_reconciliation,ncbi_urls,ncbi_id,eol_uri,notes
botanytype,166,Avena sativa,Oat,Avena sativa,Avena sativa,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4498,4498,https://eol.org/pages/1114783,
botanytype,167,Cereal Grain Fragments,Cereal grain fragments,Pooideae,Pooideae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=147368,147368,https://eol.org/pages/49307128,
botanytype,168,Culm remains,Cereal culm remains,Pooideae,Pooideae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=147368,147368,https://eol.org/pages/49307128,
botanytype,169,Avena sp.,Oat family,Avena,Avena,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4496,4496,https://eol.org/pages/108054,
botanytype,170,Hordeum vulgare,Barley,Hordeum vulgare,Hordeum vulgare,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4513,4513,https://eol.org/pages/1114455,
botanytype,171,Hordeum vulgare var.coeleste,Barley,Hordeum vulgare,Hordeum vulgare,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4513,4513,https://eol.org/pages/1114455,
botanytype,172,Panicum miliaceum,Millet,Panicum miliaceum,Panicum miliaceum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4540,4540,https://eol.org/pages/1114498,
botanytype,173,Secale cereale,Rye,Secale cereale,Secale cereale,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4550,4550,https://eol.org/pages/1115159,
botanytype,174,Setaria italicum,Foxtail millet,Setaria italica,Setaria italica,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4555,4555,https://eol.org/pages/1114673,
botanytype,175,Triticum aestivum s.l.,Bread wheat,Triticum aestivum,Triticum aestivum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4565,4565,https://eol.org/pages/1115240,
botanytype,176,Triticum dicoccon,Emmer,Triticum dicoccon,Triticum dicoccon,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=49225,49225,https://eol.org/pages/1114086,Not linked from NCBI
botanytype,177,Triticum monococcum,Einkorn,Triticum monococcum,Triticum monococcum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4568,4568,https://eol.org/pages/1115242,
botanytype,178,Triticum spelta,Spelt,Triticum spelta,Triticum spelta,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=58933,58933,https://eol.org/pages/1115243,
botanytype,179,Tr aestsl rachis internodes,Bread wheat rachis internodes,Triticum aestivum,Triticum aestivum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4565,4565,https://eol.org/pages/1115240,
botanytype,180,Trmon or dic glume bases,Emmer or einkorn glume bases,Triticum,Triticum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4564,4564,https://eol.org/pages/108051,
botanytype,181,Trmon or dic rachis internodes,Emmer or einkorn rachis internodes,Triticum,Triticum,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4564,4564,https://eol.org/pages/108051,
