label,@id,map,@type,alt_type,skos:sameas,skos:sameas,skos:closematch,notes,date_start,edtf,date_end,edtf
illustrator,http://ica.tacc.utexas.edu/chersonesos/ark/concept/actiontype/drawnby,metadata,action,foaf:person,,,dcterms:creator,,,,,
excavator,http://ica.tacc.utexas.edu/chersonesos/ark/concept/actiontype/excavator,metadata,action,foaf:person,,,dcterms:creator,,,,,
photographed by,http://ica.tacc.utexas.edu/chersonesos/ark/concept/actiontype/photographer,metadata,action,foaf:person,,,dcterms:creator,,,,,
soil composition,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/138,oc-pred:24,sampletype,https://www.britishmuseum.org/collection/term/x8881,,,http://opencontext.org/predicates/f2e2aaaf-f0b4-4193-92ee-11c788d2be77,,,,,
architectural sample,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/140,bm,sampletype,https://www.britishmuseum.org/collection/term/x8882,,,,,,,,
hellenistic (ceramic date),http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1088,periodo,ceramic_date,, http://n2t.net/ark:/99152/p0b6j5mgvqt,,,,,,,
roman (ceramic date),http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1087,periodo,ceramic_date,, http://n2t.net/ark:/99152/p0b6j5mh84m,,,,,,,
9th-11th c. ad,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1084,periodo,ceramic_date,, http://n2t.net/ark:/99152/p0b6j5mq3ms,,,,,,,
last name,http://ica.tacc.utexas.edu/chersonesos/ark/concept/txttype/lastname,schema.org,familyName,,http://schema.org/familyNames,,,,,,,
hellenistic_roman,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1089,periodo,ceramic_date,,http://n2t.net/ark:/99152/p03wskd825s,,,,,,,
13th century,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/18,periodo,period,,http://n2t.net/ark:/99152/p0b6j5m3t44,,,,,,,
modern,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/17,periodo,period,,http://n2t.net/ark:/99152/p0b6j5m46gm,,,,,,,
14th century,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/242,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mchgh,,,,,,,
hellenistic,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/25,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mgvqt,,,dropped out of export,,,,
roman,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/23,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mh84m,,,,,,,
byzantine (general),http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/22,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mmfbc,,,,,,,
11th to 12th century,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/375,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mmx9p,,,,,,,
middle byzantine (9-12th century),http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/21,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mq3ms,,,,,,,
5th-7th c. ad,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1083,periodo,ceramic_date,,http://n2t.net/ark:/99152/p0b6j5mtpfd,,,,,,,
early byzantine (5th-7th century),http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/24,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mtpfd,,,,,,,
late byzantine (13th-14th century),http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/19,periodo,period,,http://n2t.net/ark:/99152/p0b6j5mzmnj,,,,,,,
carpal_tarsal,http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/483,emapa,faunal_part,,http://purl.obolibrary.org/obo/EMAPA_36579,,,,,,,
