Source ID,Source Label,Language,Match Type,Target URI,Target Concept,created,updated,
158,Pumice,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011250,pumice (volcanic rock),2020-06-03T20:25:46.558Z,2020-06-03T20:26:26.486Z,
159,Ivory,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011857,ivory (material),2020-06-03T20:25:30.736Z,2020-06-03T20:26:54.446Z,
323,Glass,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300010797,glass (material),2020-06-03T20:25:30.633Z,2020-06-03T20:27:34.657Z,
374,Marble,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011443,marble (rock),2020-06-03T20:25:30.520Z,2020-06-03T20:28:06.919Z,
377,Bone,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011798,bone (material),2020-06-03T20:25:30.365Z,2020-06-03T20:28:41.740Z,
152,Wood,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011914,wood (plant material),2020-06-03T20:22:42.521Z,2020-06-03T20:23:26.339Z,
153,Lead,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011022,lead (metal),2020-06-03T20:22:41.967Z,2020-06-03T20:23:54.201Z,
154,Flint,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300011141,chert,2020-06-03T20:22:41.855Z,2020-06-03T20:24:32.039Z,
155,Horn,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011826,horn (animal material),2020-06-03T20:22:41.735Z,2020-06-03T20:25:02.603Z,
156,Copper,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011020,copper (metal),2020-06-03T20:22:41.608Z,2020-06-03T20:25:27.670Z,
142,Bronze,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300010942,copper alloy,2020-06-03T20:15:48.631Z,2020-06-03T20:16:54.964Z,
144,Carbon,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300264720,carbon,2020-06-03T20:15:47.519Z,2020-06-03T20:17:23.116Z,
145,Clay,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300010439,clay,2020-06-03T20:15:47.414Z,2020-06-03T20:18:01.603Z,
146,Stone,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011176,stone (worked rock),2020-06-03T20:15:47.297Z,2020-06-03T20:19:07.996Z,
147,Ceramic,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300235507,ceramic (material),2020-06-03T20:15:47.174Z,2020-06-03T20:19:44.081Z,
148,Semi-precious Stone,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011175,semiprecious stone,2020-06-03T20:15:47.062Z,2020-06-03T20:20:23.568Z,
149,Gold,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011021,gold (metal),2020-06-03T20:15:46.942Z,2020-06-03T20:20:55.338Z,
150,Mineral,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011068,mineral,2020-06-03T20:15:46.806Z,2020-06-03T20:21:29.783Z,
151,Pasta Vitrea,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300263723,pâte de verre (glass),2020-06-03T20:15:45.708Z,2020-06-03T20:22:36.912Z,
141,Iron,en,http://www.w3.org/2004/02/skos/core#exactMatch,http://vocab.getty.edu/aat/300011002,iron (metal),2020-06-03T19:11:13.432Z,2020-06-03T20:16:19.332Z,
143,Iron/Bronze,en,no match,add both URIs to these objects (multiple materials?),,,,"looked for ""bimetallic"" but didn't find value"
157,Bone/Metal,en,no match,add both URIs to these objects (multiple materials?),,,,
