Source ID,Source Label,Language,Match Type,Target URI,Target Concept
54,worked bone,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300011798,bone (material)
43,stamped amphora handle,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300264921,transport amphorae
36,rod or bar,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300014669,rods (object genre)
34,pin or needle,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300024788,piercing tools
26,metal vessel,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300015336,metalwork (visual works)
21,kiln waster,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300253876,waste
18,horse-riding gear,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300255533,animal work equipment
15,ground stone axe,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300400808,ax heads
13,glass vessel,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300010898,glassware
4,ceramic vessel,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300151343,ceramics (object genre)
2,architectural fragment,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300000885,architectural elements
3,basin,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300045614,basins (vessels)
1,anchor,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300219429,anchors (watercraft equipment)
6,charcoal,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300012862,charcoal (material)
7,coin,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300037222,coins (money)
8,crucible or cupel,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300196462,crucibles
9,devotional,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300234144,devotional objects
10,fastener,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300036363,fasteners
11,fishhook,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300024418,fishhooks
12,gamepiece,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300211101,game pieces (game elements)
17,hardware,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300033260,hardware (components)
55,worked stone,en,http://www.w3.org/2004/02/skos/core#broadMatch,http://vocab.getty.edu/aat/300011176,stone (worked rock)
53,wire,en,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300011063,wire
