module,code,short_dx,class
sfi_cd,CH06SR_3736,Anchor,anchor
sfi_cd,CH04SR_2265,Anchor (?),anchor
sfi_cd,CH04SR_2377,arch detail,architectural fragment
sfi_cd,CH04SR_2348,arch frag,architectural fragment
sfi_cd,CH04SR_2347,arch frag w/plaster,architectural fragment
sfi_cd,CH04SR_2366,architec fragment with plaster,architectural fragment
sfi_cd,CH06SR_3450,Architechtural fragment,architectural fragment
sfi_cd,CH01PA_1079,architectonic element,architectural fragment
sfi_cd,CH04SR_2183,architectual detail (cornice),architectural fragment
sfi_cd,CH04SR_2337,architectual frag,architectural fragment
sfi_cd,CH06SR_3933,Architectural / sculptural fragment,architectural fragment
sfi_cd,CH04SR_2295,Architectural decoration/relief,architectural fragment
sfi_cd,CH04SR_2408,Architectural detail,architectural fragment
sfi_cd,CH05SR_2788,Architectural detail (0.85m from 17.2385),architectural fragment
sfi_cd,CH05SR_2846,Architectural detail (1.60m from 17.2385),architectural fragment
sfi_cd,CH05SR_2887,Architectural detail (2.00 from 17.2385),architectural fragment
sfi_cd,CH05SR_2779,Architectural detail (door frame),architectural fragment
sfi_cd,CH04SR_2328,Architectural detail (marble),architectural fragment
sfi_cd,CH05SR_2867,Architectural detail (part of column),architectural fragment
sfi_cd,CH05SR_2751,Architectural detail (part of cornice),architectural fragment
sfi_cd,CH05SR_3354,architectural detail (slab),architectural fragment
sfi_cd,CH06SR_3673,Architectural detail with iron nail,architectural fragment
sfi_cd,CH04SR_2228,architectural detail with plaster,architectural fragment
sfi_cd,CH01PA_877,architectural element,architectural fragment
sfi_cd,CH04SR_2208,architectural frag,architectural fragment
sfi_cd,CH04SR_2209,architectural frag with inscription,architectural fragment
sfi_cd,CH04SR_2304,Architectural fragment,architectural fragment
sfi_cd,CH04SR_2306,Architectural fragment - cross inscribed,architectural fragment
sfi_cd,CH04SR_2717,Architectural fragment -- cornice w/rosettes,architectural fragment
sfi_cd,CH04SR_2174,architectural fragment (column),architectural fragment
sfi_cd,CH06SR_3913,Architectural fragment (revetment),architectural fragment
sfi_cd,CH04SR_2175,architectural fragment with cross,architectural fragment
sfi_cd,CH04SR_2302,Architectural fragment with nail,architectural fragment
sfi_cd,CH04SR_2226,Architectural fragment with plaster (glyphed),architectural fragment
sfi_cd,CH04SR_2149,architecture detail,architectural fragment
sfi_cd,CH01PA_13,Blocco,architectural fragment
sfi_cd,CH01PA_289,Blocco Inciso,architectural fragment
sfi_cd,CH02PA_1860,capital,architectural fragment
sfi_cd,CH04SR_2254,Capital (Frg),architectural fragment
sfi_cd,CH04SR_2193,carved marble,architectural fragment
sfi_cd,CH01PA_391,Chiave D'Arco,architectural fragment
sfi_cd,CH01PA_636,Cippo,architectural fragment
sfi_cd,CH01PA_164,Colonna,architectural fragment
sfi_cd,CH04SR_2731,Column,architectural fragment
sfi_cd,CH01PA_348,Conca,architectural fragment
sfi_cd,CH01PA_654,Cornice,architectural fragment
sfi_cd,CH04SR_2169,cornice frag from northeast extension,architectural fragment
sfi_cd,CH01PA_901,door step,architectural fragment
sfi_cd,CH04SR_2224,Doorjamb fragment/tombstone,architectural fragment
sfi_cd,CH01PA_113,Elemento Architettonico,architectural fragment
sfi_cd,CH01PA_779,Elemento Porta,architectural fragment
sfi_cd,CH04SR_2258,Fragment of Arch (architectural stone),architectural fragment
sfi_cd,CH06SR_3522,Fragment of marble object/architectural,architectural fragment
